gis_join,time
G5300470,434.7730209827423
G3100270,454.81057143211365
G3900610,417.13639736175537
G3101110,355.08073115348816
G2600550,441.27268075942993
G2900210,439.972936630249
G2701410,423.767174243927
G5401010,380.634797334671
G3101830,431.78115367889404
G4201170,377.8907449245453
G3100310,390.7474389076233
G0800870,429.42540216445923
G2601370,414.15880393981934
G3200310,470.1772029399872
G3901190,307.5478630065918
G3100650,354.32878518104553
G2901470,392.58177614212036
G3100150,366.49652194976807
G3000170,433.4656357765198
G4201290,377.25638151168823
G2000690,420.22714710235596
G0800470,429.9877059459686
G3400110,397.8832483291626
G2901830,398.4881184101105
G4600890,444.6693811416626
G2902150,435.58104944229126
G2600650,433.90077900886536
G5100610,357.63398241996765
G4900110,448.4837815761566
G3701710,425.4878947734833
G0800170,428.13931012153625
G2701110,366.1128499507904
G2700730,419.0473208427429
G2901610,446.0182511806488
G5500910,364.60235595703125
G5300230,438.0471749305725
G1901970,422.6373345851898
G5300690,332.9098813533783
G2101630,428.4011960029602
G0800110,436.60188579559326
G2700330,353.1812002658844
G0801030,462.13420033454895
G4701730,441.45538544654846
G5600030,385.6687912940979
G3100330,408.7855954170227
G3000410,374.75460934638977
G2600730,372.86850666999817
G2000650,442.55406165122986
G1600130,393.72361183166504
G3600310,446.6657314300537
G2000710,425.0009870529175
G2500170,425.7059736251831
G3000470,342.6716949939728
G3600330,443.1964509487152
G1700330,403.46666502952576
G2100290,408.7103097438812
G3900530,368.76647210121155
G5400910,413.9305999279022
G3101370,435.83310413360596
G2001650,411.2586097717285
G2601230,440.2460653781891
G5100910,386.5665888786316
G3600250,404.7964687347412
G5500590,404.3585350513458
G2300190,431.9570813179016
G4201270,401.16062688827515
G5101250,471.1336398124695
G4600830,431.0398004055023
G2600290,438.85010409355164
G4200630,313.7874994277954
G2000230,446.52630496025085
G1900210,431.05566692352295
G3901490,369.2715713977814
G2601350,430.6543114185333
G5100490,439.85914373397827
G1700830,323.406884431839
G1801550,428.3180253505707
G5500570,385.16937732696533
G3101530,382.1466808319092
G1701590,440.4722578525543
G2900810,444.40345668792725
G4001390,434.76515316963196
G1701170,474.1435577869415
G1701070,432.2091188430786
G5101770,440.9102635383606
G1801290,427.44912600517273
G3800590,427.9981827735901
G3800270,471.43847918510437
G3901690,472.84710001945496
G1801330,413.3461539745331
G1700650,453.6281678676605
G4600910,440.0619912147522
G4600470,348.6118462085724
G3100750,381.18489599227905
G2601090,299.6742739677429
G5100030,429.5797755718231
G2701570,434.94887495040894
G1900290,375.6396453380585
G3600090,408.7415590286255
G2700290,440.1342628002167
G4700350,374.766624212265
G2900550,441.38672065734863
G2001390,314.65555906295776
G1702010,382.26139783859253
G3901390,376.0150337219238
G4600070,370.2337715625763
G5500030,371.9384343624115
G5400530,428.54432439804077
G4400030,448.1613416671753
G2001850,436.16032338142395
G4600790,424.7962350845337
G1900830,474.1458225250244
G3701730,434.8980724811554
G4701710,302.1246500015259
G1800510,366.7320475578308
G3400370,384.9208559989929
G5600290,390.47490429878235
G1901570,325.1554992198944
G3500430,431.49370193481445
G1600250,430.5392072200775
G1901790,370.1900761127472
G4400070,323.5517191886902
G1600590,431.2365860939026
G3600350,369.75429129600525
G2000170,448.6292612552643
G3900930,411.0834095478058
G2400010,374.1316623687744
G4400090,381.2478756904602
G3000990,407.6144149303436
G5400150,376.74038457870483
G2100270,437.5391101837158
G1700430,194.1327521800995
G2001050,397.01504397392273
G1600090,435.87388253211975
G5600130,433.23339915275574
G2100450,443.4336986541748
G1701770,383.8547992706299
G1800330,435.7039461135864
G3601230,470.93261909484863
G5500790,410.2613251209259
G3000710,363.929594039917
G2100370,376.80824089050293
G4100230,435.140837430954
G1801390,404.5662214756012
G3101690,445.8226068019867
G5500290,437.9174144268036
G1700510,453.2076187133789
G1701510,406.28915095329285
G1701450,434.1587121486664
G0800910,310.015474319458
G2001710,434.0264012813568
G2600810,371.99273657798767
G2101350,387.52720069885254
G5400250,426.1046664714813
G2102270,340.8851351737976
G3000290,368.28760290145874
G3600850,389.0193681716919
G1900110,442.395206451416
G3101510,429.77955651283264
G4201130,383.3301782608032
G2405100,355.67605543136597
G5300710,468.43255138397217
G4100390,470.9989380836487
G0800250,382.4917366504669
G3200210,432.0129668712616
G2300030,378.0357608795166
G3800350,470.800683259964
G2600170,403.18441438674927
G2300050,403.850439786911
G4600150,434.87232971191406
G5300250,437.2885823249817
G4600670,431.55974817276
G3900630,420.57305908203125
G1600650,438.31799149513245
G3800010,430.5558247566223
G5300530,407.3725106716156
G2601190,429.7854778766632
G3600810,446.70172119140625
G3101630,436.16851019859314
G2700810,447.74699783325195
G5100710,296.1928939819336
G2001170,438.2899079322815
G3901090,383.40514874458313
G1901230,470.3039140701294
G1900630,427.20376539230347
G2101090,376.63284945487976
G4701630,382.0897614955902
G4700130,383.9503173828125
